id,originalTitle,averageRating,isAdult,releaseDate,genres,grossWorldwide
tt0374887,Munna Bhai M.B.B.S.,8.2,False,2003-12-19,"['Comedy', 'Drama']",3137716.0
tt0063023,Goopy Gyne Bagha Byne,8.7,False,1969-05-08,"['Adventure', 'Comedy', 'Family']",
tt0292246,Spadikam,8.6,False,1995-03-30,"['Action', 'Drama']",62313.0
tt7465992,Mahanati,8.4,False,2018-05-08,"['Biography', 'Drama']",279078.0
tt0119385,Iruvar,8.4,False,1997-01-14,"['Biography', 'Drama']",
tt0367110,"Swades: We, the People",8.2,False,2004-12-17,"['Drama', 'Musical']",1953889.0
tt8108198,Andhadhun,8.2,False,2018-10-05,"['Crime', 'Mystery', 'Thriller']",62475342.0
tt33014583,Dhurandhar,8.3,False,2025-12-05,"['Action', 'Adventure', 'Crime']",137246897.0
tt0312859,Kannathil Muthamittal,8.3,False,2002-02-14,"['Action', 'Drama', 'Musical']",
tt4429128,Papanasam,8.4,False,2015-07-03,"['Crime', 'Drama', 'Mystery']",586973.0
tt6148156,Vikram Vedha,8.2,False,2017-07-21,"['Action', 'Crime', 'Drama']",546792.0
tt8239946,Tumbbad,8.2,False,2018-10-12,"['Drama', 'Fantasy', 'Horror']",1691980.0
tt13391710,Jana Gana Mana,8.3,False,2022-04-28,"['Drama', 'Thriller']",3135150.0
tt0140377,Michael Madana Kama Rajan,8.5,False,1990-10-17,['Comedy'],
tt5312232,Sairat,8.3,False,2016-04-29,"['Drama', 'Romance']",
tt2181831,Shahid,8.2,False,2013-10-18,"['Biography', 'Drama']",377803.0
tt0364647,Virumandi,8.4,False,2021-01-14,"['Action', 'Crime', 'Drama']",476950000.0
tt7019942,Super Deluxe,8.2,False,2019-03-28,"['Comedy', 'Crime', 'Drama']",273191.0
tt10687070,Mandela,8.3,False,2021-04-04,"['Comedy', 'Drama']",
tt9179430,Vikram,8.3,False,2022-06-03,"['Action', 'Crime', 'Thriller']",29837637.0
tt0060742,Nayak,8.3,False,1966-05-06,['Drama'],
tt1620933,Paan Singh Tomar,8.2,False,2012-03-02,"['Action', 'Biography', 'Crime']",40311.0
tt0459516,Pudhu Pettai,8.4,False,2006-05-26,"['Action', 'Crime', 'Drama']",4652.0
tt0871510,Chak De! India,8.1,False,2007-08-09,"['Drama', 'Family', 'Sport']",21505244.0
tt2338151,PK,8.1,False,2014-12-19,"['Comedy', 'Drama', 'Musical']",100370104.0
tt0169102,Lagaan: Once Upon a Time in India,8.1,False,2001-06-15,"['Drama', 'Musical', 'Sport']",1724806.0
tt0104561,Jo Jeeta Wohi Sikandar,8.1,False,1992-05-22,"['Comedy', 'Drama', 'Romance']",
tt34365591,Mahavatar Narsimha,8.5,False,2025-08-01,"['Action', 'Animation', 'Drama']",877285.0
tt15501640,Drishyam 2,8.2,False,2022-11-18,"['Crime', 'Drama', 'Mystery']",2973347.0
tt0375611,Black,8.1,False,2005-02-04,['Drama'],1266341.0
tt0073707,Sholay,8.1,False,1975-08-15,"['Action', 'Adventure', 'Comedy']",
tt3569782,Jigarthanda,8.2,False,2014-08-01,"['Comedy', 'Crime', 'Drama']",24274.0
tt0086231,Sagara Sangamam,8.7,False,1983-06-03,"['Drama', 'Music', 'Musical']",
tt26458038,Manjummel Boys,8.2,False,2024-02-22,"['Adventure', 'Drama', 'Thriller']",3784106.0
tt5867800,Aruvi,8.3,False,2017-12-14,['Drama'],
tt1496729,Aaranya Kaandam,8.4,False,2011-06-10,"['Action', 'Comedy', 'Crime']",70000000.0
tt2082197,Barfi!,8.1,False,2012-09-14,"['Comedy', 'Drama', 'Romance']",4490134.0
tt3973410,Kaakkaa Muttai,8.3,False,2015-06-05,"['Comedy', 'Drama']",246551.0
tt0215517,Angoor,8.3,False,1982-03-05,['Comedy'],
tt0319736,The Legend of Bhagat Singh,8.2,False,2002-06-07,"['Biography', 'Drama', 'History']",
tt4934950,Talvar,8.1,False,2015-10-02,"['Crime', 'Drama', 'Mystery']",6879098.0
tt4851630,Maheshinte Prathikaaram,8.3,False,2016-02-05,"['Comedy', 'Drama', 'Romance']",22361.0
tt1639426,Udaan,8.1,False,2010-07-16,['Drama'],434862.0
tt8291224,Uri: The Surgical Strike,8.2,False,2019-01-11,"['Action', 'Drama', 'History']",39346577.0
tt9006564,2018,8.3,False,2023-05-05,"['Action', 'Drama', 'Thriller']",4547765.0
tt0200087,Sarfarosh,8.1,False,1999-04-30,"['Action', 'Crime', 'Drama']",288733.0
tt2877108,Soodhu Kavvum,8.2,False,2013-05-01,"['Comedy', 'Crime', 'Thriller']",
tt7060460,Theeran Adhigaaram Ondru,8.2,False,2017-11-17,"['Action', 'Crime', 'Thriller']",238484.0
tt2283748,OMG: Oh My God!,8.1,False,2017-03-17,"['Comedy', 'Drama', 'Fantasy']",12140087.0
tt10324144,Article 15,8.1,False,2019-06-28,"['Crime', 'Drama', 'Mystery']",734514.0
tt0376076,Pithamagan,8.3,False,2003-10-24,"['Action', 'Crime', 'Drama']",
tt4849438,Bãhubali 2: The Conclusion,8.2,False,2017-04-28,"['Action', 'Drama']",254158390.0
tt0139876,Baasha,8.3,False,1995-01-15,"['Action', 'Crime', 'Drama']",250000000.0
tt3863552,Bajrangi Bhaijaan,8.1,False,2015-07-17,"['Adventure', 'Comedy', 'Drama']",121126188.0
tt2218988,Ustad Hotel,8.2,False,2012-06-29,"['Comedy', 'Drama']",2178.0
tt4635372,Masaan,8.1,False,2015-06-24,['Drama'],651748.0
tt1821480,Kahaani,8.1,False,2012-03-09,"['Mystery', 'Thriller']",459234.0
tt0249188,Thoovanathumbikal,8.6,False,1987-07-31,"['Drama', 'Romance']",
tt6380520,Dhuruvangal Pathinaaru,8.2,False,2016-12-29,"['Crime', 'Drama', 'Mystery']",
tt0242256,Alai Payuthey,8.3,False,2000-04-14,"['Drama', 'Musical', 'Romance']",350000000.0
tt0405508,Rang De Basanti,8.1,False,2006-01-26,"['Comedy', 'Crime', 'Drama']",10800778.0
tt3322420,Queen,8.1,False,2014-03-07,"['Adventure', 'Comedy', 'Drama']",502391.0
tt0230597,Oru Vadakkan Veeragatha,8.7,False,1989-04-14,"['Drama', 'History']",
tt0292490,Dil Chahta Hai,8.0,False,2001-08-10,"['Comedy', 'Drama', 'Romance']",316221.0
tt0456144,Lage Raho Munna Bhai,8.0,False,2006-09-01,"['Comedy', 'Drama', 'Romance']",17897527.0
tt1280558,A Wednesday,8.1,False,2008-09-05,"['Action', 'Crime', 'Drama']",3256911.0
tt0453729,Iqbal,8.1,False,2006-01-20,"['Drama', 'Sport']",
tt0066763,Anand,8.1,False,1971-03-12,"['Drama', 'Musical']",
tt25433734,Hi Nanna,8.3,False,2023-12-07,"['Drama', 'Family', 'Romance']",210780.0
tt0057935,Charulata,8.1,False,1964-04-17,"['Drama', 'Romance']",
tt0213969,Padayappa,8.3,False,1999-04-10,"['Action', 'Comedy', 'Drama']",440000000.0
tt5005684,Nil Battey Sannata,8.2,False,2016-04-22,"['Drama', 'Family']",
tt0843326,Bommarillu,8.2,False,2006-08-09,"['Comedy', 'Drama', 'Romance']",
tt0290937,Yoddha,8.5,False,1992-09-03,"['Action', 'Comedy', 'Drama']",
tt0112553,Bombay,8.1,False,1995-03-10,"['Drama', 'Musical', 'Romance']",
tt0105271,Roja,8.1,False,1992-08-15,"['Drama', 'Musical', 'Romance']",
tt5571734,Pink,8.0,False,2016-09-16,"['Crime', 'Drama', 'Thriller']",180180.0
tt8144834,Section 375,8.1,False,2019-09-13,"['Crime', 'Drama', 'Mystery']",129916.0
tt18568902,Kaun Pravin Tambe?,8.3,False,2022-04-01,"['Biography', 'Drama', 'Sport']",
tt0488414,Omkara,8.0,False,2006-07-28,"['Action', 'Crime', 'Drama']",16466144.0
tt0116630,Indian,8.1,False,1996-05-09,"['Action', 'Drama', 'Musical']",184.0
tt27540185,Chithha,8.2,False,2023-09-28,"['Drama', 'Thriller']",7664.0
tt1180583,Vaaranam Aayiram,8.2,False,2008-11-14,"['Action', 'Drama', 'Musical']",921007.0
tt0054098,Mughal-E-Azam,8.1,False,1960-08-05,"['Drama', 'Romance', 'War']",161434.0
tt0483180,Thanmathra,8.4,False,2005-12-16,['Drama'],
tt11992424,Sapta Sagaradaache Ello: Side A,8.2,False,2023-09-01,"['Drama', 'Romance']",37253.0
tt2358592,Lucia,8.3,False,2013-09-06,"['Drama', 'Sci-Fi', 'Thriller']",
tt0112870,Dilwale Dulhania Le Jayenge,8.0,False,1995-10-20,"['Drama', 'Romance']",83096.0
tt34915705,Tourist Family,8.2,False,2025-05-01,"['Comedy', 'Drama']",561441.0
tt11396310,Viduthalai Part 1,8.1,False,2023-03-31,"['Action', 'Crime', 'Drama']",5880.0
tt7822438,Thadam,8.1,False,2019-02-28,"['Crime', 'Drama', 'Mystery']",96878.0
tt2377938,Special Chabbis,8.0,False,2013-02-08,"['Crime', 'Drama', 'History']",647074.0
tt5824826,Pelli Choopulu,8.2,False,2016-07-29,"['Comedy', 'Drama', 'Romance']",
tt10295212,Shershaah,8.3,False,2021-08-12,"['Action', 'Biography', 'Drama']",
tt0379370,Maqbool,8.0,False,2004-01-30,"['Crime', 'Drama', 'Thriller']",
tt1261047,Gulaal,8.0,False,2009-03-13,"['Crime', 'Drama', 'Thriller']",2364294.0
tt0109117,Andaz Apna Apna,8.0,False,1994-11-04,"['Action', 'Comedy', 'Romance']",
tt1821317,Aadukalam,8.1,False,2011-01-14,"['Action', 'Drama', 'Romance']",4997.0
tt2564144,Naduvula Konjam Pakkatha Kaanom,8.2,False,2012-11-30,"['Comedy', 'Drama']",
tt7838252,K.G.F: Chapter 1,8.2,False,2018-12-20,"['Action', 'Crime', 'Drama']",6421597.0
tt0220832,Vaastav: The Reality,8.0,False,1999-10-07,"['Action', 'Crime', 'Drama']",81367.0
tt24485052,Sirf Ek Bandaa Kaafi Hai,8.0,False,2023-05-23,"['Crime', 'Drama', 'Thriller']",327.0
tt7392212,Rangasthalam,8.2,False,2018-03-29,"['Action', 'Drama']",551820.0
tt0063404,Padosan,8.1,False,1968-11-29,"['Comedy', 'Musical', 'Romance']",
tt3390572,Haider,8.0,False,2014-10-02,"['Action', 'Crime', 'Drama']",1404307.0
tt13299890,The Great Indian Kitchen,8.1,False,2021-01-15,"['Comedy', 'Drama', 'Family']",
tt0471571,Athadu,8.2,False,2005-08-10,"['Action', 'Crime', 'Drama']",
tt5559528,Maanagaram,8.1,False,2017-03-10,"['Action', 'Thriller']",100000000.0
tt1857670,Deiva Thirumagal,8.2,False,2011-07-15,"['Drama', 'Family', 'Musical']",846407.0
tt0072860,Deewaar,8.0,False,,"['Action', 'Crime', 'Drama']",65317.0
tt11469744,Mathu Vadalara,8.2,False,2019-12-24,"['Comedy', 'Crime', 'Thriller']",7035.0
tt11322920,Ayyappanum Koshiyum,8.0,False,2020-02-07,"['Action', 'Drama', 'Thriller']",5088713.0
tt5082014,Charlie,8.1,False,2015-12-25,"['Adventure', 'Drama', 'Romance']",46083.0
tt10545484,Evaru,8.1,False,2019-08-16,"['Mystery', 'Thriller']",62744.0
tt0296574,Company,7.9,False,2002-04-15,"['Action', 'Crime', 'Drama']",
