Company,Rating,Reviews,Salaries,Interviews,Jobs,Benefits
HSBC Group,3.9,(5.9k),43.9k,550,124,1.1k
PolicyBazaar,3.8,(5.9k),17.4k,631,886,231
SMFG India Credit,3.9,(5.9k),11.3k,212,42,348
Access Healthcare,3.7,(5.8k),29k,400,2k,347
BigBasket,3.9,(5.8k),19.5k,489,85,381
Siemens,3.9,(5.8k),34.1k,509,766,632
Aurobindo Pharma,4.0,(5.8k),20.7k,292,19,468
Udaan,3.9,(5.7k),15.8k,372,8,755
GlobalLogic,3.5,(5.7k),41.2k,685,39,515
Manappuram Finance,3.9,(5.7k),9.4k,226,10,260
Firstsource Solutions,3.5,(5.7k),24.8k,364,183,570
ICICI Lombard General Insurance Company,3.5,(5.7k),20k,358,254,366
Tata Capital,4.0,(5.7k),16k,276,5.1k,257
Shapoorji Pallonji Group,4.1,(5.7k),15.5k,430,64,632
Standard Chartered,3.6,(5.6k),42.2k,323,--,305
Apollo Hospitals,4.1,(5.6k),16.6k,488,191,507
UST,3.7,(5.6k),40.1k,592,58,408
Mahindra Finance,3.9,(5.6k),12.2k,221,595,507
Bosch Global Software Technologies,3.7,(5.6k),40.7k,393,14,626
Ashok Leyland,4.0,(5.6k),18.8k,326,--,642
Swiggy,3.7,(5.5k),23.3k,577,187,340
Citicorp,3.7,(5.5k),53.5k,630,--,517
Hero MotoCorp,4.1,(5.4k),15.9k,411,1,584
CGI Group,4.0,(5.4k),46.5k,560,538,354
Cyient,3.6,(5.3k),27.7k,336,86,466
SBI Cards & Payment Services,3.6,(5.3k),16.2k,309,86,344
BNY,3.6,(5.2k),31.5k,401,77,528
Kalpataru Projects International,4.2,(5.2k),13.7k,333,4,203
NTT DATA,3.8,(5.2k),36.7k,751,40,156
IQVIA,3.7,(5.2k),31.2k,556,40,524
Nagarjuna Construction Company,4.0,(5.2k),12.3k,447,16,408
JustDial,3.5,(5.1k),15.4k,393,85,372
Schneider Electric,4.1,(5.1k),25.1k,458,185,436
SBI Life Insurance Company,3.7,(5.1k),11.9k,309,2,327
TVS Motor,3.9,(5.1k),16.1k,406,20,537
CBRE,4.1,(5.1k),18.9k,353,195,443
Persistent Systems,3.6,(5k),45.8k,713,159,369
State Bank of India,3.8,(4.9k),11.8k,315,10,400
Atos,3.8,(4.9k),33.9k,410,107,456
vivo,4.1,(4.9k),13k,242,8,643
KEC International,4.0,(4.9k),13.5k,422,17,442
Amdocs,3.6,(4.8k),37.4k,562,16,614
Ecom Express,4.0,(4.8k),9.4k,264,--,323
ITC Infotech,3.8,(4.8k),29.7k,420,93,281
JBM Group,3.9,(4.8k),13.9k,352,49,342
Varun Beverages,4.0,(4.8k),12k,352,56,321
Eviden,3.6,(4.8k),27.4k,316,1,1
Nagarro,3.9,(4.7k),32.8k,836,348,1.1k
Bosch,4.1,(4.6k),21k,383,--,599
Utkarsh Small Finance Bank,3.6,(4.6k),11.2k,308,19,270
